COD_PROC_URG|CPCU_CENTRO_CODIGO|CPCU_ACTIVO
39.32|002083|0
39.4|002083|0
39.41|002083|0
39.42|002083|0
39.43|002083|0
39.49|002083|0
39.5|002083|0
39.50|002083|0
39.51|002083|0
39.52|002083|0
39.53|002083|0
39.54|002083|0
39.55|002083|0
39.56|002083|0
39.57|002083|0
39.58|002083|0
39.59|002083|0
39.6|002083|0
39.61|002083|0
39.62|002083|0
39.63|002083|0
39.64|002083|0
39.65|002083|0
39.66|002083|0
39.7|002083|0
39.71|002083|0
39.79|002083|0
39.9|002083|0
39.91|002083|0
39.92|002083|0
39.93|002083|0
39.94|002083|0
39.95|002083|0
39.96|002083|0
39.97|002083|0
39.98|002083|0
39.99|002083|0
40|002083|0
40.0|002083|0
40.1|002083|0
40.11|002083|0
40.19|002083|0
40.2|002083|0
40.21|002083|0
40.22|002083|0
40.23|002083|0
40.24|002083|0
40.29|002083|0
40.3|002083|0
40.4|002083|0
40.40|002083|0
40.41|002083|0
40.42|002083|0
40.5|002083|0
40.50|002083|0
